,is_oceanic
200701201800,0.0
200702201800,1.0
200703201800,1.0
200704201800,1.0
200705201800,0.0
200706201800,1.0
200707201800,1.0
200708201800,1.0
200709201800,1.0
200710201800,1.0
200711201800,1.0
200712201800,1.0
200801201800,0.0
200802201800,0.0
200803201800,1.0
200804201800,1.0
200805201800,1.0
200806201800,1.0
200807201800,1.0
200808201800,1.0
200809201800,1.0
200810201800,1.0
200811201800,1.0
200812201800,0.0
200901201800,0.0
200902201800,1.0
200903201800,1.0
200904201800,1.0
200905201800,1.0
200906201800,1.0
200907201800,0.0
200908201800,1.0
200909201800,0.0
200910201800,1.0
200911201800,1.0
200912201800,1.0
201001201800,0.0
201002201800,1.0
201003201800,0.0
201004201800,1.0
201005201800,1.0
201006201800,0.0
201007201800,0.0
201008201800,1.0
201009201800,1.0
201010201800,1.0
201011201800,0.0
201012201800,1.0
201101201800,0.0
201102201800,0.0
201103201800,1.0
201104201800,1.0
201105201800,1.0
201106201800,1.0
201107201800,1.0
201108201800,1.0
201109201800,1.0
201110201800,0.0
201111201800,1.0
201112201800,0.0
201201201800,1.0
201202201800,0.0
201203201800,0.0
201204201800,0.0
201205201800,1.0
201206201800,1.0
201207201800,0.0
201208201800,1.0
201209201800,1.0
201210201800,1.0
201211201800,0.0
201212201800,0.0
201301201800,1.0
201302201800,1.0
201303201800,1.0
201304201800,1.0
201305201800,1.0
201306201800,0.0
201307201800,1.0
201308201800,0.0
201309201800,1.0
201310201800,1.0
201311201800,1.0
201312201800,0.0
201401201800,1.0
201402201800,1.0
201403201800,1.0
201404201800,1.0
201405201800,1.0
201406201800,0.0
201407201800,0.0
201408201800,1.0
201409201800,1.0
201410201800,1.0
201411201800,1.0
201412201800,0.0
201501201800,1.0
201502201800,1.0
201503201800,1.0
201504201800,1.0
201505201800,1.0
201506201800,1.0
201507201800,1.0
201508201800,0.0
201509201800,1.0
201510201800,1.0
201511201800,0.0
201512201800,0.0
201601201800,0.0
201602201800,1.0
201603201800,1.0
201604201800,1.0
201606201800,0.0
201607201800,1.0
201608201800,1.0
201609201800,1.0
201610201800,1.0
201611201800,1.0
201612201800,1.0
201701201800,1.0
201702201800,1.0
201703201800,1.0
201704201800,1.0
201705201800,1.0
201706201800,1.0
201707201800,0.0
201708201800,1.0
201709201800,1.0
201710201800,1.0
201711201800,1.0
201712201800,0.0
201801010000,0.0
201801010600,0.0
201801011200,0.0
201801011800,0.0
201801020000,0.0
201801020600,0.0
201801021200,0.0
201801021800,0.0
201801030000,0.0
201801030600,0.0
201801031200,0.0
201801031800,0.0
201801040000,0.0
201801040600,0.0
201801041200,0.0
201801041800,0.0
201801050000,0.0
201801050600,0.0
201801051200,0.0
201801051800,0.0
201801060000,0.0
201801060600,0.0
201801061200,0.0
201801061800,0.0
201801070000,0.0
201801070600,1.0
201801071200,1.0
201801071800,1.0
201801080000,1.0
201801080600,1.0
201801081200,1.0
201801081800,1.0
201801090000,0.0
201801090600,0.0
201801091200,0.0
201801091800,0.0
201801100000,0.0
201801100600,0.0
201801101200,0.0
201801101800,0.0
201801110000,0.0
201801110600,0.0
201801111200,0.0
201801111800,0.0
201801120000,0.0
201801120600,0.0
201801121200,0.0
201801121800,0.0
201801130000,0.0
201801130600,0.0
201801131200,0.0
201801131800,0.0
201801140000,0.0
201801140600,0.0
201801141200,0.0
201801141800,0.0
201801150000,0.0
201801150600,0.0
201801151200,0.0
201801151800,0.0
201801160000,0.0
201801160600,0.0
201801161200,1.0
201801161800,1.0
201801170000,1.0
201801170600,1.0
201801171200,1.0
201801171800,0.0
201801180000,0.0
201801180600,0.0
201801181200,0.0
201801181800,0.0
201801190000,0.0
201801190600,0.0
201801191200,0.0
201801191800,0.0
201801200000,1.0
201801200600,0.0
201801201200,1.0
201801201800,0.0
201801210000,0.0
201801210600,0.0
201801211200,0.0
201801211800,0.0
201801220000,0.0
201801220600,0.0
201801221200,0.0
201801221800,0.0
201801230000,0.0
201801230600,0.0
201801231200,0.0
201801231800,0.0
201801240000,0.0
201801240600,0.0
201801241200,0.0
201801241800,0.0
201801250000,0.0
201801250600,0.0
201801251200,0.0
201801251800,0.0
201801260000,0.0
201801260600,0.0
201801261200,0.0
201801261800,0.0
201801270000,0.0
201801270600,0.0
201801271200,0.0
201801271800,0.0
201801280000,0.0
201801280600,0.0
201801281200,0.0
201801281800,1.0
201801290000,1.0
201801290600,1.0
201801291200,1.0
201801291800,1.0
201801300000,1.0
201801300600,1.0
201801301200,0.0
201801301800,1.0
201801310000,1.0
201801310600,1.0
201801311200,0.0
201801311800,0.0
201802010000,0.0
201802010600,0.0
201802011200,0.0
201802011800,0.0
201802020000,1.0
201802020600,0.0
201802021200,0.0
201802021800,0.0
201802030000,0.0
201802030600,0.0
201802031200,0.0
201802031800,1.0
201802040000,1.0
201802040600,1.0
201802041200,1.0
201802041800,1.0
201802050000,1.0
201802050600,1.0
201802051200,1.0
201802051800,1.0
201802060000,0.0
201802060600,1.0
201802061200,1.0
201802061800,1.0
201802070000,0.0
201802070600,1.0
201802071200,1.0
201802071800,1.0
201802080000,0.0
201802080600,1.0
201802081200,1.0
201802081800,1.0
201802090000,1.0
201802090600,1.0
201802091200,1.0
201802091800,1.0
201802100000,0.0
201802100600,0.0
201802101200,0.0
201802101800,0.0
201802110000,0.0
201802110600,0.0
201802111200,0.0
201802111800,0.0
201802120000,0.0
201802120600,0.0
201802121200,0.0
201802121800,0.0
201802130000,0.0
201802130600,0.0
201802131200,0.0
201802131800,0.0
201802140000,0.0
201802140600,0.0
201802141200,0.0
201802141800,0.0
201802150000,0.0
201802150600,0.0
201802151200,0.0
201802151800,0.0
201802160000,1.0
201802160600,1.0
201802161200,1.0
201802161800,1.0
201802170000,1.0
201802170600,1.0
201802171200,1.0
201802171800,0.0
201802180000,0.0
201802180600,0.0
201802181200,0.0
201802181800,0.0
201802190000,1.0
201802190600,1.0
201802191200,1.0
201802191800,0.0
201802200000,0.0
201802200600,0.0
201802201200,0.0
201802201800,1.0
201802210000,1.0
201802210600,0.0
201802211200,1.0
201802211800,1.0
201802220000,1.0
201802220600,1.0
201802221200,1.0
201802221800,1.0
201802230000,1.0
201802230600,0.0
201802231200,1.0
201802231800,1.0
201802240000,1.0
201802240600,1.0
201802241200,1.0
201802241800,1.0
201802250000,1.0
201802250600,1.0
201802251200,1.0
201802251800,1.0
201802260000,1.0
201802260600,1.0
201802261200,1.0
201802261800,1.0
201802270000,1.0
201802270600,0.0
201802271200,0.0
201802271800,0.0
201802280000,1.0
201802280600,1.0
201802281200,1.0
201802281800,1.0
201803010000,1.0
201803010600,1.0
201803011200,1.0
201803011800,1.0
201803020000,1.0
201803020600,1.0
201803021200,1.0
201803021800,1.0
201803030000,1.0
201803030600,1.0
201803031200,1.0
201803031800,1.0
201803040000,1.0
201803040600,1.0
201803041200,1.0
201803041800,1.0
201803050000,1.0
201803050600,1.0
201803051200,1.0
201803051800,1.0
201803060000,1.0
201803060600,1.0
201803061200,1.0
201803061800,1.0
201803070000,1.0
201803070600,1.0
201803071200,1.0
201803071800,1.0
201803080000,1.0
201803080600,1.0
201803081200,1.0
201803081800,1.0
201803090000,1.0
201803090600,1.0
201803091200,1.0
201803091800,1.0
201803100000,1.0
201803100600,1.0
201803101200,1.0
201803101800,1.0
201803110000,1.0
201803110600,1.0
201803111200,1.0
201803111800,1.0
201803120000,1.0
201803120600,1.0
201803121200,1.0
201803121800,1.0
201803130000,1.0
201803130600,0.0
201803131200,1.0
201803131800,1.0
201803140000,1.0
201803140600,0.0
201803141200,0.0
201803141800,0.0
201803150000,1.0
201803150600,1.0
201803151200,1.0
201803151800,1.0
201803160000,1.0
201803160600,1.0
201803161200,1.0
201803161800,1.0
201803170000,1.0
201803170600,1.0
201803171200,1.0
201803171800,0.0
201803180000,1.0
201803180600,1.0
201803181200,1.0
201803181800,0.0
201803190000,1.0
201803190600,1.0
201803191200,1.0
201803191800,1.0
201803200000,1.0
201803200600,1.0
201803201200,1.0
201803201800,1.0
201803210000,1.0
201803210600,1.0
201803211200,1.0
201803211800,1.0
201803220000,1.0
201803220600,1.0
201803221200,1.0
201803221800,1.0
201803230000,0.0
201803230600,0.0
201803231200,0.0
201803231800,0.0
201803240000,0.0
201803240600,0.0
201803241200,0.0
201803241800,0.0
201803250000,0.0
201803250600,0.0
201803251200,0.0
201803251800,1.0
201803260000,0.0
201803260600,0.0
201803261200,1.0
201803261800,1.0
201803270000,1.0
201803270600,0.0
201803271200,0.0
201803271800,1.0
201803280000,1.0
201803280600,1.0
201803281200,1.0
201803281800,1.0
201803290000,1.0
201803290600,1.0
201803291200,1.0
201803291800,1.0
201803300000,1.0
201803300600,1.0
201803301200,1.0
201803301800,0.0
201803310000,0.0
201803310600,0.0
201803311200,0.0
201803311800,0.0
201804010000,0.0
201804010600,0.0
201804011200,0.0
201804011800,0.0
201804020000,0.0
201804020600,0.0
201804021200,0.0
201804021800,0.0
201804030000,0.0
201804030600,0.0
201804031200,1.0
201804031800,1.0
201804040000,1.0
201804040600,1.0
201804041200,1.0
201804041800,1.0
201804050000,1.0
201804050600,1.0
201804051200,1.0
201804051800,1.0
201804060000,1.0
201804060600,1.0
201804061200,1.0
201804061800,1.0
201804070000,1.0
201804070600,1.0
201804071200,1.0
201804071800,1.0
201804080000,1.0
201804080600,1.0
201804081200,1.0
201804081800,1.0
201804090000,1.0
201804090600,1.0
201804091200,1.0
201804091800,1.0
201804100000,1.0
201804100600,1.0
201804101200,1.0
201804101800,1.0
201804110000,1.0
201804110600,1.0
201804111200,1.0
201804111800,1.0
201804120000,1.0
201804120600,1.0
