,is_oceanic,time
201601010000,0.0,216000.0
201601010600,1.0,
201601011200,1.0,
201601011800,0.0,32400.0
201601020000,0.0,64800.0
201601020600,0.0,54000.0
201601021200,0.0,43200.0
201601021800,0.0,32400.0
201601030000,0.0,32400.0
201601030600,1.0,
201601031200,1.0,
201601031800,1.0,
201601040600,0.0,43200.0
201601041200,0.0,43200.0
201601041800,0.0,43200.0
201601050000,0.0,43200.0
201601050600,0.0,32400.0
201601051200,0.0,43200.0
201601051800,0.0,108000.0
201601060000,0.0,129600.0
201601061200,1.0,
201601061800,1.0,
201601070000,1.0,
201601070600,1.0,
201601071200,1.0,
201601071800,1.0,
201601080000,1.0,
201601080600,1.0,
201601081200,1.0,
201601081800,1.0,
201601090000,1.0,
201601090600,1.0,
201601091200,1.0,
201601111200,1.0,
201601111800,1.0,
201601120000,1.0,
201601121200,0.0,64800.0
201601121800,0.0,162000.0
201601130000,0.0,226800.0
201601130600,0.0,237600.0
201601131200,0.0,388800.0
201601131800,1.0,
201601140000,1.0,
201601140600,1.0,
201601141200,1.0,
201601141800,1.0,
201601150000,1.0,
201601150600,1.0,
201601151200,1.0,
201601151800,0.0,10800.0
201601160000,0.0,21600.0
201601160600,1.0,
201601161200,0.0,21600.0
201601161800,1.0,
201601170000,1.0,
201601170600,0.0,205200.0
201601171200,0.0,216000.0
201601171800,0.0,194400.0
201601180000,1.0,
201601180600,0.0,172800.0
201601181200,0.0,280800.0
201601181800,0.0,291600.0
201601190000,0.0,183600.0
201601190600,1.0,
201601191200,1.0,
201601191800,1.0,
201601200000,1.0,
201601200600,1.0,
201601201200,1.0,
201601201800,1.0,
201601210000,1.0,
201601211200,1.0,
201601211800,1.0,
201601220000,1.0,
201601220600,1.0,
201601221200,1.0,
201601221800,1.0,
201601230000,1.0,
201601230600,1.0,
201601231200,1.0,
201601231800,1.0,
201601240000,1.0,
201601240600,1.0,
201601241200,1.0,
201601241800,1.0,
201601250600,1.0,
201601251200,0.0,10800.0
201601251800,0.0,43200.0
201601260000,0.0,43200.0
201601260600,1.0,
201601261200,1.0,
201601261800,1.0,
201601270000,0.0,21600.0
201601270600,1.0,
201601271200,1.0,
201601271800,1.0,
201601280000,0.0,162000.0
201601280600,0.0,183600.0
201601281200,1.0,
201601281800,1.0,
201601290000,0.0,21600.0
201601290600,0.0,302400.0
201601291200,0.0,388800.0
201601291800,1.0,
201601300000,0.0,10800.0
201601300600,1.0,
201601301200,0.0,21600.0
201601301800,0.0,21600.0
201601310000,0.0,248400.0
201601310600,1.0,
201601311200,0.0,324000.0
201601311800,0.0,334800.0
201602010000,0.0,345600.0
201602010600,0.0,118800.0
201602011200,0.0,118800.0
201602011800,0.0,97200.0
201602020000,0.0,561600.0
201602020600,0.0,453600.0
201602021200,0.0,561600.0
201602021800,0.0,108000.0
201602030000,1.0,
201602030600,1.0,
201602031200,1.0,
201602031800,1.0,
201602040000,1.0,
201602040600,1.0,
201602041200,1.0,
201602041800,0.0,64800.0
201602050000,0.0,140400.0
201602050600,1.0,
201602051200,0.0,140400.0
201602051800,0.0,43200.0
201602060000,0.0,32400.0
201602060600,1.0,
201602061200,1.0,
201602061800,1.0,
201602070000,1.0,
201602070600,1.0,
201602071200,0.0,118800.0
201602071800,1.0,
201602080000,1.0,
201602080600,1.0,
201602081200,1.0,
201602081800,1.0,
201602090000,1.0,
201602090600,1.0,
201602091200,1.0,
201602091800,1.0,
201602100000,1.0,
201602100600,1.0,
201602101200,1.0,
201602101800,1.0,
201602110000,1.0,
201602110600,1.0,
201602111200,1.0,
201602111800,0.0,10800.0
201602120000,0.0,97200.0
201602120600,0.0,86400.0
201602121200,0.0,75600.0
201602121800,1.0,
201602130000,1.0,
201602130600,1.0,
201602131200,1.0,
201602131800,1.0,
201602140000,1.0,
201602140600,1.0,
201602141200,1.0,
201602141800,1.0,
201602150000,1.0,
201602150600,1.0,
201602151200,1.0,
201602151800,1.0,
201602160000,1.0,
201602160600,1.0,
201602161200,1.0,
201602161800,1.0,
201602170000,1.0,
201602170600,1.0,
201602171200,1.0,
201602171800,1.0,
201602180000,1.0,
201602180600,1.0,
201602181200,1.0,
201602181800,1.0,
201602190000,1.0,
201602190600,0.0,464400.0
201602191200,0.0,572400.0
201602191800,1.0,
201602200000,1.0,
201602200600,1.0,
201602201200,1.0,
201602201800,0.0,10800.0
201602210000,0.0,43200.0
201602210600,0.0,64800.0
201602211200,0.0,108000.0
201602211800,0.0,151200.0
201602220000,0.0,183600.0
201602220600,0.0,216000.0
201602221200,0.0,151200.0
201602221800,0.0,216000.0
201602230000,0.0,194400.0
201602230600,0.0,194400.0
201602231200,0.0,172800.0
201602231800,0.0,313200.0
201602240000,0.0,367200.0
201602240600,1.0,
201602241200,0.0,21600.0
201602241800,0.0,43200.0
201602250000,1.0,
201602250600,1.0,
201602251200,1.0,
201602251800,1.0,
201602260000,1.0,
201602260600,1.0,
201602261200,1.0,
201602261800,1.0,
201602270000,1.0,
201602270600,1.0,
201602271200,1.0,
201602271800,1.0,
201602280000,1.0,
201602280600,1.0,
201602281200,1.0,
201602281800,0.0,54000.0
201602290000,0.0,86400.0
201602290600,1.0,
201602291200,1.0,
201602291800,1.0,
201603010000,0.0,21600.0
201603010600,1.0,
201603011200,0.0,259200.0
201603011800,0.0,248400.0
201603020000,0.0,205200.0
201603020600,1.0,
201603021200,1.0,
201603021800,1.0,
201603030000,1.0,
201603030600,1.0,
201603031200,0.0,97200.0
201603031800,0.0,108000.0
201603040000,1.0,
201603040600,1.0,
201603041200,1.0,
201603041800,1.0,
201603050000,1.0,
201603050600,1.0,
201603051200,1.0,
201603051800,1.0,
201603060000,1.0,
201603060600,1.0,
201603061200,1.0,
201603061800,1.0,
201603070000,1.0,
201603070600,1.0,
201603071200,0.0,10800.0
201603071800,0.0,140400.0
201603080000,1.0,
201603080600,1.0,
201603081200,1.0,
201603081800,1.0,
201603090000,0.0,64800.0
201603090600,1.0,
201603091200,1.0,
201603091800,0.0,10800.0
201603100000,0.0,54000.0
201603100600,0.0,75600.0
201603101200,1.0,
201603101800,0.0,118800.0
201603110000,0.0,21600.0
201603110600,1.0,
201603111200,0.0,75600.0
201603111800,0.0,205200.0
201603120000,1.0,
201603120600,1.0,
201603121200,1.0,
201603121800,1.0,
201603130000,1.0,
201603130600,1.0,
201603131200,1.0,
201603131800,1.0,
201603140000,1.0,
201603140600,1.0,
201603141200,0.0,54000.0
201603141800,1.0,
201603150000,1.0,
201603150600,0.0,21600.0
201603151200,0.0,21600.0
201603151800,0.0,21600.0
201603160000,1.0,
201603160600,1.0,
201603161200,1.0,
201603161800,1.0,
201603170000,0.0,54000.0
201603170600,0.0,86400.0
201603171200,0.0,140400.0
201603171800,0.0,237600.0
201603180000,1.0,
201603180600,1.0,
201603181200,1.0,
201603181800,1.0,
201603190000,1.0,
201603190600,1.0,
