,is_oceanic,time
201501010000,0.0,334800.0
201501010600,0.0,237600.0
201501011200,0.0,118800.0
201501011800,0.0,205200.0
201501020000,0.0,226800.0
201501020600,0.0,226800.0
201501021200,0.0,172800.0
201501021800,1.0,
201501030000,0.0,10800.0
201501030600,1.0,
201501031200,1.0,
201501031800,1.0,
201501040000,0.0,118800.0
201501040600,1.0,
201501041200,1.0,
201501041800,0.0,183600.0
201501050000,1.0,
201501050600,1.0,
201501051200,1.0,
201501051800,1.0,
201501060000,1.0,
201501060600,1.0,
201501061200,1.0,
201501061800,0.0,464400.0
201501070000,0.0,151200.0
201501070600,0.0,194400.0
201501071200,1.0,
201501071800,0.0,226800.0
201501080000,0.0,237600.0
201501080600,0.0,259200.0
201501081200,0.0,216000.0
201501081800,0.0,367200.0
201501090000,0.0,216000.0
201501090600,0.0,162000.0
201501091200,0.0,172800.0
201501091800,0.0,248400.0
201501100000,0.0,280800.0
201501100600,0.0,399600.0
201501101200,0.0,388800.0
201501101800,0.0,464400.0
201501110000,0.0,496800.0
201501110600,0.0,496800.0
201501111200,0.0,453600.0
201501111800,0.0,529200.0
201501120000,0.0,432000.0
201501120600,0.0,594000.0
201501121200,0.0,550800.0
201501121800,1.0,
201501130000,1.0,
201501130600,0.0,162000.0
201501131200,0.0,162000.0
201501131800,0.0,226800.0
201501140000,0.0,216000.0
201501140600,0.0,172800.0
201501141200,0.0,54000.0
201501141800,1.0,
201501150000,1.0,
201501150600,0.0,259200.0
201501151200,1.0,
201501151800,1.0,
201501160000,1.0,
201501160600,1.0,
201501161200,1.0,
201501161800,0.0,270000.0
201501170000,0.0,270000.0
201501170600,0.0,205200.0
201501171200,0.0,475200.0
201501171800,0.0,540000.0
201501180000,0.0,604800.0
201501180600,0.0,604800.0
201501181200,1.0,
201501181800,1.0,
201501190000,1.0,
201501190600,0.0,162000.0
201501191200,0.0,356400.0
201501191800,0.0,237600.0
201501200000,0.0,259200.0
201501200600,0.0,64800.0
201501201200,1.0,
201501201800,0.0,399600.0
201501210000,0.0,345600.0
201501210600,1.0,
201501211200,1.0,
201501211800,0.0,216000.0
201501220000,0.0,270000.0
201501220600,0.0,183600.0
201501221200,0.0,270000.0
201501221800,0.0,291600.0
201501230000,0.0,313200.0
201501230600,0.0,356400.0
201501231200,0.0,378000.0
201501231800,1.0,
201501240000,0.0,604800.0
201501240600,0.0,432000.0
201501241200,0.0,475200.0
201501241800,1.0,
201501250000,1.0,
201501250600,0.0,194400.0
201501251200,0.0,594000.0
201501251800,1.0,
201501260000,1.0,
201501260600,1.0,
201501261200,1.0,
201501261800,1.0,
201501270000,1.0,
201501270600,1.0,
201501271200,1.0,
201501271800,0.0,356400.0
201501280000,1.0,
201501280600,1.0,
201501281200,1.0,
201501281800,1.0,
201501290000,1.0,
201501290600,0.0,216000.0
201501291200,0.0,334800.0
201501291800,0.0,453600.0
201501300000,1.0,
201501300600,1.0,
201501301200,0.0,270000.0
201501301800,0.0,237600.0
201501310000,0.0,162000.0
201501310600,0.0,388800.0
201501311200,0.0,421200.0
201501311800,1.0,
201502010000,1.0,
201502010600,1.0,
201502011200,1.0,
201502011800,1.0,
201502020000,1.0,
201502020600,1.0,
201502021200,1.0,
201502021800,1.0,
201502030000,1.0,
201502030600,1.0,
201502031200,1.0,
201502031800,1.0,
201502040000,1.0,
201502040600,1.0,
201502041200,0.0,334800.0
201502041800,0.0,378000.0
201502050000,0.0,399600.0
201502050600,0.0,432000.0
201502051200,0.0,356400.0
201502051800,0.0,475200.0
201502060000,0.0,302400.0
201502060600,0.0,205200.0
201502061200,0.0,226800.0
201502061800,0.0,345600.0
201502070000,0.0,280800.0
201502070600,1.0,
201502071200,1.0,
201502071800,0.0,604800.0
201502080000,0.0,151200.0
201502080600,0.0,324000.0
201502081200,0.0,172800.0
201502081800,0.0,97200.0
201502090000,1.0,
201502090600,0.0,151200.0
201502091200,1.0,
201502091800,1.0,
201502100000,1.0,
201502100600,1.0,
201502101200,1.0,
201502101800,1.0,
201502110000,1.0,
201502110600,1.0,
201502111200,1.0,
201502111800,1.0,
201502120000,1.0,
201502120600,0.0,324000.0
201502121200,0.0,118800.0
201502121800,0.0,410400.0
201502130000,0.0,475200.0
201502130600,1.0,
201502131200,0.0,345600.0
201502131800,0.0,399600.0
201502140000,0.0,432000.0
201502140600,0.0,97200.0
201502141200,1.0,
201502141800,1.0,
201502150000,1.0,
201502150600,1.0,
201502151200,0.0,367200.0
201502151800,1.0,
201502160000,1.0,
201502160600,1.0,
201502161200,0.0,118800.0
201502161800,0.0,226800.0
201502170000,0.0,432000.0
201502170600,0.0,421200.0
201502171200,0.0,583200.0
201502171800,1.0,
201502180000,1.0,
201502180600,1.0,
201502181200,0.0,421200.0
201502181800,1.0,
201502190000,0.0,248400.0
201502190600,0.0,367200.0
201502191200,1.0,
201502191800,0.0,302400.0
201502200000,0.0,302400.0
201502200600,1.0,
201502201200,1.0,
201502201800,1.0,
201502210000,1.0,
201502210600,1.0,
201502211200,1.0,
201502211800,1.0,
201502220000,1.0,
201502220600,1.0,
201502221200,1.0,
201502221800,1.0,
201502230000,1.0,
201502230600,1.0,
201502231200,1.0,
201502231800,1.0,
201502240000,0.0,324000.0
201502240600,1.0,
201502241200,0.0,183600.0
201502241800,0.0,280800.0
201502250000,0.0,475200.0
201502250600,1.0,
201502251200,1.0,
201502251800,1.0,
201502260000,1.0,
201502260600,1.0,
201502261200,1.0,
201502261800,1.0,
201502270000,1.0,
201502270600,1.0,
201502271200,1.0,
201502271800,1.0,
201502280000,1.0,
201502280600,1.0,
201502281200,1.0,
201502281800,1.0,
201503010000,1.0,
201503010600,0.0,86400.0
201503011200,0.0,226800.0
201503011800,1.0,
201503020000,0.0,226800.0
201503020600,1.0,
201503021200,0.0,270000.0
201503021800,0.0,302400.0
201503030000,0.0,291600.0
201503030600,0.0,345600.0
201503031200,1.0,
201503031800,0.0,162000.0
201503040000,0.0,194400.0
201503040600,0.0,324000.0
201503041200,0.0,345600.0
201503041800,1.0,
201503050000,0.0,291600.0
201503050600,0.0,334800.0
201503051200,0.0,313200.0
201503051800,0.0,172800.0
201503060000,0.0,140400.0
201503060600,1.0,
201503061200,0.0,183600.0
201503061800,1.0,
201503070000,1.0,
201503070600,1.0,
201503071200,1.0,
201503071800,0.0,291600.0
201503080000,0.0,302400.0
201503080600,1.0,
201503081200,0.0,313200.0
201503081800,1.0,
201503090000,1.0,
201503090600,0.0,345600.0
201503091200,1.0,
201503091800,1.0,
201503100000,0.0,216000.0
201503100600,1.0,
201503101200,0.0,97200.0
201503101800,1.0,
201503110000,0.0,604800.0
201503110600,0.0,183600.0
201503111200,0.0,270000.0
201503111800,0.0,259200.0
201503120000,0.0,345600.0
201503120600,0.0,334800.0
201503121200,0.0,324000.0
201503121800,0.0,302400.0
201503130000,0.0,302400.0
201503130600,0.0,313200.0
201503131200,0.0,313200.0
201503131800,0.0,313200.0
201503140000,0.0,313200.0
201503140600,0.0,313200.0
201503141200,0.0,313200.0
201503141800,0.0,313200.0
201503150000,0.0,313200.0
201503150600,0.0,313200.0
201503151200,0.0,313200.0
201503151800,0.0,313200.0
201503160000,0.0,313200.0
201503160600,0.0,313200.0
201503161200,0.0,313200.0
201503161800,0.0,313200.0
201503170000,0.0,313200.0
201503170600,0.0,313200.0
201503171200,0.0,313200.0
201503171800,0.0,313200.0
201503180000,0.0,313200.0
201503180600,0.0,313200.0
201503181200,0.0,313200.0
201503181800,0.0,313200.0
201503190000,0.0,313200.0
201503190600,0.0,313200.0
201503191200,0.0,291600.0
201503191800,0.0,334800.0
201503200000,0.0,367200.0
201503200600,0.0,334800.0
201503201200,0.0,356400.0
201503201800,0.0,367200.0
201503210000,0.0,388800.0
201503210600,0.0,410400.0
201503211200,0.0,421200.0
201503211800,0.0,410400.0
201503220000,1.0,
201503220600,0.0,518400.0
201503221200,0.0,507600.0
201503221800,0.0,302400.0
201503230000,0.0,388800.0
201503230600,0.0,302400.0
201503231200,0.0,345600.0
201503231800,1.0,
201503240000,0.0,118800.0
201503240600,1.0,
201503241200,1.0,
201503241800,0.0,280800.0
201503250000,0.0,259200.0
201503250600,1.0,
201503251200,1.0,
201503251800,1.0,
201503260000,0.0,356400.0
201503260600,0.0,248400.0
201503261200,0.0,270000.0
201503261800,0.0,248400.0
201503270000,1.0,
201503270600,1.0,
201503271200,1.0,
201503271800,1.0,
201503280000,0.0,205200.0
201503280600,1.0,
201503281200,1.0,
201503281800,1.0,
201503290000,0.0,21600.0
201503290600,1.0,
201503291200,1.0,
201503291800,0.0,216000.0
201503300000,1.0,
201503300600,1.0,
201503301200,1.0,
201503301800,1.0,
201503310000,1.0,
201503310600,1.0,
201503311200,1.0,
201503311800,1.0,
201504010000,1.0,
201504010600,1.0,
201504011200,1.0,
201504011800,1.0,
201504020000,1.0,
201504020600,1.0,
201504021200,1.0,
201504021800,1.0,
201504030000,1.0,
201504030600,1.0,
201504031200,1.0,
201504031800,1.0,
201504040000,1.0,
201504040600,1.0,
201504041200,1.0,
201504041800,1.0,
201504050000,1.0,
201504050600,1.0,
201504051200,1.0,
201504051800,1.0,
201504060000,1.0,
201504060600,1.0,
201504061200,1.0,
201504061800,1.0,
201504070000,1.0,
201504070600,1.0,
201504071200,0.0,280800.0
201504071800,0.0,140400.0
201504080000,0.0,162000.0
201504080600,0.0,183600.0
201504081200,0.0,183600.0
201504081800,0.0,162000.0
201504090000,1.0,
201504090600,0.0,248400.0
201504091200,0.0,259200.0
201504091800,0.0,194400.0
201504100000,0.0,205200.0
201504100600,1.0,
201504101200,1.0,
201504101800,1.0,
201504110000,1.0,
201504110600,1.0,
201504111200,1.0,
201504111800,1.0,
201504120000,0.0,248400.0
201504120600,0.0,302400.0
201504121200,0.0,248400.0
201504121800,1.0,
201504130000,1.0,
201504130600,1.0,
201504131200,0.0,140400.0
201504131800,0.0,410400.0
201504140000,0.0,97200.0
201504140600,0.0,324000.0
201504141200,0.0,356400.0
201504141800,0.0,248400.0
201504150000,0.0,356400.0
201504150600,0.0,367200.0
201504151200,0.0,356400.0
201504151800,0.0,334800.0
201504160000,0.0,378000.0
201504160600,1.0,
201504161200,1.0,
201504161800,1.0,
201504170000,1.0,
201504170600,1.0,
201504171200,1.0,
201504171800,1.0,
201504180000,1.0,
201504180600,1.0,
201504181200,1.0,
201504181800,1.0,
201504190000,1.0,
201504190600,1.0,
201504191200,1.0,
201504191800,1.0,
201504200000,0.0,237600.0
201504200600,1.0,
201504201200,1.0,
201504201800,0.0,248400.0
201504210000,0.0,237600.0
201504210600,0.0,140400.0
201504211200,0.0,270000.0
201504211800,0.0,324000.0
201504220000,0.0,313200.0
201504220600,0.0,140400.0
201504221200,1.0,
201504221800,1.0,
201504230000,0.0,172800.0
201504230600,1.0,
201504231200,1.0,
201504231800,1.0,
201504240000,1.0,
201504240600,1.0,
201504241200,0.0,280800.0
201504241800,1.0,
201504250000,1.0,
201504250600,0.0,388800.0
201504251200,1.0,
201504251800,1.0,
201504260000,1.0,
201504260600,0.0,453600.0
201504261200,0.0,475200.0
201504261800,0.0,442800.0
201504270000,0.0,486000.0
201504270600,1.0,
201504271200,1.0,
201504271800,1.0,
201504280000,1.0,
201504280600,1.0,
201504281200,1.0,
201504281800,1.0,
201504290000,1.0,
201504290600,1.0,
201504291200,1.0,
201504291800,1.0,
201504300000,1.0,
201504300600,0.0,10800.0
201504301200,0.0,140400.0
201504301800,0.0,216000.0
201505010000,1.0,
201505010600,0.0,302400.0
201505011200,0.0,313200.0
201505011800,1.0,
201505020000,1.0,
201505020600,1.0,
201505021200,0.0,324000.0
201505021800,1.0,
201505030000,1.0,
201505030600,1.0,
201505031200,1.0,
201505031800,1.0,
201505040000,0.0,291600.0
201505040600,1.0,
201505041200,0.0,399600.0
201505041800,0.0,280800.0
201505050000,0.0,10800.0
201505050600,0.0,291600.0
201505051200,0.0,324000.0
201505051800,0.0,604800.0
201505060000,1.0,
201505060600,0.0,604800.0
201505061200,0.0,432000.0
201505061800,1.0,
201505070000,1.0,
201505070600,1.0,
