,is_oceanic
200701010000,1.0
200701010600,0.0
200701011200,1.0
200701011800,1.0
200701020000,1.0
200701020600,1.0
200701021200,1.0
200701021800,1.0
200701030000,1.0
200701030600,1.0
200701031200,1.0
200701031800,1.0
200701040000,1.0
200701040600,1.0
200701041200,1.0
200701041800,1.0
200701050000,1.0
200701050600,1.0
200701051200,1.0
200701051800,1.0
200701060000,1.0
200701060600,1.0
200701061200,1.0
200701061800,1.0
200701070000,1.0
200701070600,1.0
200701071200,1.0
200701071800,1.0
200701080000,1.0
200701080600,1.0
200701081200,1.0
200701081800,1.0
200701090000,1.0
200701090600,1.0
200701091200,0.0
200701091800,1.0
200701100000,1.0
200701100600,1.0
200701101200,1.0
200701101800,1.0
200701110000,1.0
200701110600,1.0
200701111200,1.0
200701111800,1.0
200701120000,1.0
200701120600,1.0
200701121200,1.0
200701121800,1.0
200701130000,1.0
200701130600,1.0
200701131200,1.0
200701131800,1.0
200701140000,1.0
200701140600,1.0
200701141200,1.0
200701141800,1.0
200701150000,1.0
200701150600,1.0
200701151200,1.0
200701151800,1.0
200701160000,1.0
200701160600,1.0
200701161200,1.0
200701161800,1.0
200701170000,1.0
200701170600,1.0
200701171200,1.0
200701171800,1.0
200701180000,1.0
200701180600,1.0
200701181200,1.0
200701181800,1.0
200701190000,1.0
200701190600,1.0
200701191200,1.0
200701191800,1.0
200701200000,1.0
200701200600,1.0
200701201200,1.0
200701201800,1.0
200701210000,1.0
200701210600,1.0
200701211200,1.0
200701211800,1.0
200701220000,1.0
200701220600,1.0
200701221200,0.0
200701221800,0.0
200701230000,0.0
200701230600,0.0
200701231200,0.0
200701231800,0.0
200701240000,1.0
200701240600,1.0
200701241200,1.0
200701241800,0.0
200701250000,0.0
200701250600,0.0
200701251200,0.0
200701251800,0.0
200701260000,0.0
200701260600,1.0
200701261200,1.0
200701261800,1.0
200701270000,1.0
200701270600,1.0
200701271200,1.0
200701271800,1.0
200701280000,1.0
200701280600,1.0
200701281200,1.0
200701281800,1.0
200701290000,1.0
200701290600,1.0
200701291200,1.0
200701291800,1.0
200701300000,1.0
200701300600,1.0
200701301200,1.0
200701301800,1.0
200701310000,1.0
200701310600,1.0
200701311200,1.0
200701311800,1.0
200702010000,1.0
200702010600,1.0
200702011200,1.0
200702011800,1.0
200702020000,1.0
200702020600,1.0
200702021200,0.0
200702021800,0.0
200702030000,0.0
200702030600,0.0
200702031200,0.0
200702031800,0.0
200702040000,0.0
200702040600,0.0
200702041200,0.0
200702041800,0.0
200702050000,0.0
200702050600,0.0
200702051200,0.0
200702051800,0.0
200702060000,0.0
200702060600,0.0
200702061200,0.0
200702061800,0.0
200702070000,0.0
200702070600,0.0
200702071200,0.0
200702071800,0.0
200702080000,0.0
200702080600,1.0
200702081200,1.0
200702081800,1.0
200702090000,1.0
200702090600,1.0
200702091200,1.0
200702091800,1.0
200702100000,0.0
200702100600,0.0
200702101200,0.0
200702101800,0.0
200702110000,1.0
200702110600,1.0
200702111200,1.0
200702111800,1.0
200702120000,1.0
200702120600,0.0
200702121200,0.0
200702121800,0.0
200702130000,1.0
200702130600,1.0
200702131200,1.0
200702131800,1.0
200702140000,1.0
200702140600,1.0
200702141200,1.0
200702141800,1.0
200702150000,1.0
200702150600,1.0
200702151200,1.0
200702151800,1.0
200702160000,1.0
200702160600,1.0
200702161200,1.0
200702161800,1.0
200702170000,1.0
200702170600,1.0
200702171200,1.0
200702171800,1.0
200702180000,1.0
200702180600,0.0
200702181200,0.0
200702181800,1.0
200702190000,1.0
200702190600,1.0
